1,"arenisca","arenisca",12,5
2,"asfalto","asfalto",57,16
3,"basalto","basalto",45,9
4,"bedrock","bedrock",NULL,NULL
5,"bldrcbbl","bldrcbbl",NULL,NULL
6,"breccia","breccia",NULL,NULL
7,"caliza","caliza",NULL,NULL
8,"cap_sup","cap_sup",NULL,NULL
9,"carbon","carbon",NULL,NULL
10,"ch","ch",0,18
11,"cl","cl",60,17
12,"cl-ch","cl-ch",NULL,NULL
13,"clg","clg",NULL,NULL
14,"cl-ml","cl-ml",NULL,NULL
15,"cls","cls",NULL,NULL
16,"coral","coral",NULL,NULL
17,"esquito","esquito",NULL,NULL
18,"fill","fill",NULL,NULL
19,"gc","gc",NULL,NULL
20,"gm","gm",0,11
21,"gp","gp",NULL,NULL
22,"gp-gm","gp-gm",0,6
23,"gps","gps",NULL,NULL
24,"gw","gw",NULL,NULL
25,"gw-gc","gw-gc",NULL,NULL
26,"gw-gm","gw-gm",28,0
27,"gws","gws",NULL,NULL
28,"hormigon","hormigon",NULL,NULL
29,"limolita","limolita",NULL,NULL
30,"mh","mh",49,14
31,"ml","ml",0,13
32,"mlg","mlg",NULL,NULL
33,"mls","mls",NULL,NULL
34,"oh","oh",NULL,NULL
35,"ohsh","ohsh",NULL,NULL
36,"ol","ol",NULL,NULL
37,"olsh","olsh",NULL,NULL
38,"pt","pt",NULL,NULL
39,"rotado","rotado",0,3
40,"sc","sc",NULL,NULL
41,"sc-sm","sc-sm",NULL,NULL
42,"sm","sm",0,10
43,"sp","sp",NULL,NULL
44,"spg","spg",NULL,NULL
45,"sp-sc","sp-sc",NULL,NULL
46,"sp-sm","sp-sm",0,16
47,"sw","sw",NULL,NULL
48,"swg","swg",NULL,NULL
49,"sw-sc","sw-sc",NULL,NULL
50,"sw-sm","sw-sm",NULL,NULL
51,"till","till",NULL,NULL
52,"till","till",NULL,NULL
53,"yeso","yeso",NULL,NULL
